,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
46,64,1855.0,13089,0.3489536250008314,"[6, 14, 0, 13, 11, 14, 13, 0, 2, 13, 14, 14, 12, 11, 11, 14, 11, 14, 14, 14, 0, 0, 14, 14, 14, 13, 1, 0, 1, 13]",200,0.4,2048
47,128,1884.0,25967,0.6256782500004192,"[2, 14, 0, 14, 13, 14, 14, 0, 1, 14, 14, 14, 12, 14, 12, 14, 11, 14, 14, 14, 0, 0, 14, 14, 14, 14, 1, 0, 0, 13]",200,0.4,2048
48,256,1884.0,51695,1.166214542000489,"[2, 14, 0, 14, 13, 14, 14, 0, 1, 14, 14, 14, 12, 14, 12, 14, 11, 14, 14, 14, 0, 0, 14, 14, 14, 14, 1, 0, 0, 13]",200,0.4,2048
49,512,1895.0,103156,2.2452880830005597,"[0, 14, 0, 14, 14, 14, 14, 0, 0, 14, 14, 14, 12, 13, 14, 14, 14, 14, 14, 14, 0, 0, 14, 14, 14, 14, 1, 0, 0, 13]",200,0.4,2048
50,1024,1898.0,206071,4.40298758300014,"[0, 14, 0, 14, 14, 14, 14, 0, 0, 14, 14, 14, 12, 14, 14, 14, 14, 14, 14, 14, 0, 1, 14, 14, 14, 14, 0, 0, 0, 13]",200,0.4,2048
51,2048,1898.0,309184,6.600273208000544,"[0, 14, 0, 14, 14, 14, 14, 0, 0, 14, 14, 14, 12, 14, 14, 14, 14, 14, 14, 14, 0, 1, 14, 14, 14, 14, 0, 0, 0, 13]",200,0.4,2048
52,0,1063.0,200,0.0017753339998307638,"[6, 3, 12, 14, 10, 7, 12, 4, 6, 9, 2, 6, 10, 10, 7, 4, 3, 7, 7, 2, 5, 4, 1, 7, 11, 13, 5, 1, 11, 4]",200,0.5,2048
53,1,1486.0,402,0.02175591700051882,"[2, 14, 7, 7, 4, 14, 12, 3, 11, 13, 6, 12, 8, 7, 5, 8, 9, 12, 14, 10, 8, 0, 13, 2, 5, 11, 0, 9, 3, 9]",200,0.5,2048
54,2,1486.0,603,0.042043209000439674,"[2, 14, 7, 7, 4, 14, 12, 3, 11, 13, 6, 12, 8, 7, 5, 8, 9, 12, 14, 10, 8, 0, 13, 2, 5, 11, 0, 9, 3, 9]",200,0.5,2048
55,4,1532.0,1006,0.06611529200017685,"[2, 14, 5, 1, 14, 14, 0, 3, 0, 13, 0, 12, 11, 4, 9, 11, 7, 6, 14, 13, 11, 7, 13, 12, 9, 13, 2, 7, 6, 8]",200,0.5,2048
56,8,1661.0,1813,0.0985272090001672,"[6, 14, 1, 13, 14, 9, 6, 3, 0, 12, 13, 8, 12, 11, 9, 13, 13, 7, 14, 13, 8, 7, 13, 8, 9, 13, 2, 7, 6, 13]",200,0.5,2048
57,16,1684.0,3423,0.14727349999975559,"[6, 14, 3, 12, 1, 14, 12, 3, 0, 13, 13, 7, 11, 11, 9, 7, 14, 13, 14, 14, 11, 14, 13, 13, 2, 13, 2, 7, 4, 13]",200,0.5,2048
58,32,1808.0,6647,0.2289700419996734,"[0, 14, 5, 14, 14, 14, 14, 3, 0, 13, 11, 12, 11, 7, 12, 14, 14, 13, 14, 14, 1, 6, 13, 13, 13, 11, 0, 1, 4, 8]",200,0.5,2048
59,64,1861.0,13089,0.37677820899989456,"[0, 14, 1, 14, 14, 14, 14, 3, 0, 13, 10, 11, 12, 14, 14, 14, 14, 14, 14, 14, 0, 0, 13, 14, 14, 13, 0, 0, 4, 13]",200,0.5,2048
