,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
48,8,27.0,2078,0.5369725000000045,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1]",25,512,4
49,16,27.0,2086,0.5470487500000019,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1]",25,512,4
50,32,27.0,2102,0.5588515840000099,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1]",25,512,4
51,64,29.0,2135,0.5758821250000068,"[1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",25,512,4
52,128,36.0,2202,0.6037092920000049,"[1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",25,512,4
53,256,36.0,2330,0.6537897090000087,"[1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",25,512,4
54,512,36.0,2586,0.7545898750000077,"[1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",25,512,4
55,0,25.0,2586,0.7634177500000021,"[0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1]",25,512,5
56,1,25.0,2587,0.7719809170000076,"[0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1]",25,512,5
57,2,25.0,2588,0.7803621250000106,"[0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1]",25,512,5
58,4,26.0,2591,0.7890280420000124,"[0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1]",25,512,5
59,8,27.0,2596,0.7987342090000027,"[0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1]",25,512,5
60,16,27.0,2604,0.8099850840000045,"[0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1]",25,512,5
61,32,29.0,2621,0.8242763750000108,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1]",25,512,5
62,64,32.0,2655,0.8456218750000062,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]",25,512,5
63,128,37.0,2720,0.8798817920000062,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",25,512,5
64,256,37.0,2848,0.9414822920000034,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",25,512,5
65,512,37.0,3104,1.0681897920000125,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",25,512,5
