,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
84,256,4.0,507,0.7060146250000798,"[0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0]",geometric,500,0.99,0.001,496.4647154150189,500,8192
85,512,25.0,999,0.8036086670000486,"[0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0]",geometric,500,0.99,0.001,495.97799529889426,500,8192
86,1024,37.0,1598,0.9475553330000821,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,500,0.99,0.001,495.26097659853286,500,8192
87,2048,37.0,2622,1.2781620000000657,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,500,0.99,0.001,493.61809988164293,500,8192
88,4096,37.0,4670,2.326629333000028,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,500,0.99,0.001,488.4439335472775,500,8192
89,8192,37.0,6304,3.630435792000071,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",geometric,500,0.99,0.001,482.0852662880526,500,8192
90,0,24.0,0,5.987500003357127e-05,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",geometric,1000,0.99,0.001,999.9993982363214,1000,8192
91,1,25.0,2,0.09225937500002601,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0]",geometric,1000,0.99,0.001,999.0731920476582,1000,8192
92,2,25.0,4,0.18442295900001682,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0]",geometric,1000,0.99,0.001,998.1482040167735,1000,8192
93,4,23.0,8,0.27793533400006254,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0]",geometric,1000,0.99,0.001,997.2105543014658,1000,8192
94,8,8.0,16,0.3724846250000837,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0]",geometric,1000,0.99,0.001,996.2634029364917,1000,8192
95,16,26.0,32,0.4660832090000895,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",geometric,1000,0.99,0.001,995.326661402441,1000,8192
96,32,24.0,64,0.5583657920000178,"[1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1]",geometric,1000,0.99,0.001,994.4039527945226,1000,8192
97,64,26.0,128,0.6510687920000464,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1]",geometric,1000,0.99,0.001,993.477901792413,1000,8192
98,128,25.0,256,0.7460647090000521,"[1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]",geometric,1000,0.99,0.001,992.5298404840272,1000,8192
99,256,5.0,511,0.842864875000032,"[0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1]",geometric,1000,0.99,0.001,991.564703384964,1000,8192
