,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
33,0,571.3299342666445,1540,0.32830200000000076,"[3, 1, 2, 0, 4]",25,512,3
34,1,571.3299342666445,1541,0.3349736250000035,"[3, 1, 2, 0, 4]",25,512,3
35,2,500.45633901491556,1543,0.34215137500000026,"[1, 3, 2, 0, 4]",25,512,3
36,4,500.45633901491556,1545,0.3494655410000007,"[1, 3, 2, 0, 4]",25,512,3
37,8,498.23514413629016,1550,0.35726533300000085,"[1, 0, 2, 3, 4]",25,512,3
38,16,498.23514413629016,1558,0.3673022500000016,"[1, 0, 2, 3, 4]",25,512,3
39,32,498.23514413629016,1574,0.3788546660000023,"[1, 0, 2, 3, 4]",25,512,3
40,64,498.23514413629016,1606,0.39425075000000476,"[1, 0, 2, 3, 4]",25,512,3
41,128,498.23514413629016,1670,0.41969129099999947,"[1, 0, 2, 3, 4]",25,512,3
42,256,498.23514413629016,1798,0.4621859579999992,"[1, 0, 2, 3, 4]",25,512,3
43,512,498.23514413629016,2054,0.5476501660000039,"[1, 0, 2, 3, 4]",25,512,3
44,0,618.4623924022237,2054,0.5565394999999995,"[4, 3, 0, 1, 2]",25,512,4
45,1,574.0097606080029,2056,0.5649766659999997,"[4, 3, 1, 0, 2]",25,512,4
46,2,571.3299342666446,2058,0.5741322080000018,"[4, 3, 1, 2, 0]",25,512,4
47,4,498.2351441362902,2062,0.5830100830000049,"[4, 3, 2, 0, 1]",25,512,4
48,8,498.2351441362902,2066,0.5924152910000018,"[4, 3, 2, 0, 1]",25,512,4
49,16,498.2351441362902,2074,0.6034984160000008,"[4, 3, 2, 0, 1]",25,512,4
50,32,498.2351441362902,2090,0.6174896660000044,"[4, 3, 2, 0, 1]",25,512,4
51,64,498.2351441362902,2122,0.6367825000000025,"[4, 3, 2, 0, 1]",25,512,4
52,128,498.2351441362902,2186,0.6667177910000035,"[4, 3, 2, 0, 1]",25,512,4
53,256,498.2351441362902,2314,0.7202979159999998,"[4, 3, 2, 0, 1]",25,512,4
54,512,498.2351441362902,2570,0.8264707080000022,"[4, 3, 2, 0, 1]",25,512,4
55,0,498.23514413629016,2570,0.8363635410000043,"[4, 1, 0, 2, 3]",25,512,5
56,1,498.23514413629016,2571,0.8468023750000029,"[4, 1, 0, 2, 3]",25,512,5
57,2,498.23514413629016,2572,0.8573962910000006,"[4, 1, 0, 2, 3]",25,512,5
58,4,498.23514413629016,2574,0.8679017500000015,"[4, 1, 0, 2, 3]",25,512,5
59,8,498.23514413629016,2578,0.8797360830000045,"[4, 1, 0, 2, 3]",25,512,5
60,16,498.23514413629016,2586,0.8928013330000013,"[4, 1, 0, 2, 3]",25,512,5
61,32,498.23514413629016,2602,0.9103250410000001,"[4, 1, 0, 2, 3]",25,512,5
62,64,498.23514413629016,2634,0.9335375409999997,"[4, 1, 0, 2, 3]",25,512,5
63,128,498.23514413629016,2698,0.9702723750000004,"[4, 1, 0, 2, 3]",25,512,5
64,256,498.23514413629016,2826,1.0372067500000028,"[4, 1, 0, 2, 3]",25,512,5
65,512,498.23514413629016,3082,1.1862672080000038,"[4, 1, 0, 2, 3]",25,512,5
66,0,532.3904293878463,3082,1.2228373750000046,"[2, 4, 1, 3, 0]",25,512,6
