,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
30,8,8.0,1359,0.12045708400000876,"[1, 1, 1, 0, 0]",150,0.6,2048
31,16,8.0,2567,0.14928283399967768,"[1, 1, 1, 0, 0]",150,0.6,2048
32,32,8.0,4983,0.19867174999944837,"[1, 1, 1, 0, 0]",150,0.6,2048
33,64,8.0,9815,0.29107645899966883,"[1, 1, 1, 0, 0]",150,0.6,2048
34,128,8.0,19479,0.46907241699955193,"[1, 1, 1, 0, 0]",150,0.6,2048
35,256,8.0,38807,0.8194898749998174,"[1, 1, 1, 0, 0]",150,0.6,2048
36,512,8.0,77463,1.5189807090000613,"[1, 1, 1, 0, 0]",150,0.6,2048
37,1024,8.0,151302,2.906555083999592,"[1, 1, 1, 0, 0]",150,0.6,2048
38,2048,8.0,151302,2.906555083999592,"[1, 1, 1, 0, 0]",150,0.6,2048
39,0,3.0,200,0.0012329999999565189,"[0, 1, 0, 0, 0]",200,0.4,2048
40,1,8.0,402,0.014554291999957059,"[0, 0, 1, 1, 1]",200,0.4,2048
41,2,8.0,603,0.029568334000032337,"[0, 0, 1, 1, 1]",200,0.4,2048
42,4,8.0,1005,0.04742679199989652,"[0, 0, 1, 1, 1]",200,0.4,2048
43,8,8.0,1809,0.07199966700045479,"[0, 0, 1, 1, 1]",200,0.4,2048
44,16,8.0,3417,0.11081862500032003,"[0, 0, 1, 1, 1]",200,0.4,2048
45,32,8.0,6633,0.17764325000007375,"[0, 0, 1, 1, 1]",200,0.4,2048
46,64,8.0,13065,0.30088583399992785,"[0, 0, 1, 1, 1]",200,0.4,2048
47,128,8.0,25929,0.5379356250005003,"[0, 0, 1, 1, 1]",200,0.4,2048
48,256,8.0,51657,1.0041132090000247,"[0, 0, 1, 1, 1]",200,0.4,2048
49,512,8.0,103113,1.9379638750006052,"[0, 0, 1, 1, 1]",200,0.4,2048
50,1024,8.0,201402,3.7234775420001824,"[0, 0, 1, 1, 1]",200,0.4,2048
51,2048,8.0,201402,3.7234775420001824,"[0, 0, 1, 1, 1]",200,0.4,2048
52,0,3.0,200,0.0012502080007834593,"[0, 1, 0, 0, 0]",200,0.5,2048
53,1,8.0,402,0.017637500000091677,"[0, 0, 1, 1, 1]",200,0.5,2048
54,2,8.0,603,0.03407670800061169,"[0, 0, 1, 1, 1]",200,0.5,2048
55,4,8.0,1005,0.053914416000225174,"[0, 0, 1, 1, 1]",200,0.5,2048
56,8,8.0,1809,0.08113300000059098,"[0, 0, 1, 1, 1]",200,0.5,2048
57,16,8.0,3417,0.12262516600003437,"[0, 0, 1, 1, 1]",200,0.5,2048
58,32,8.0,6633,0.19269858300049236,"[0, 0, 1, 1, 1]",200,0.5,2048
59,64,8.0,13065,0.32023629100058315,"[0, 0, 1, 1, 1]",200,0.5,2048
60,128,8.0,25929,0.5604888750003738,"[0, 0, 1, 1, 1]",200,0.5,2048
61,256,8.0,51657,1.0336118750001333,"[0, 0, 1, 1, 1]",200,0.5,2048
62,512,8.0,103113,1.9717182080003113,"[0, 0, 1, 1, 1]",200,0.5,2048
63,1024,8.0,201402,3.7762121250007112,"[0, 0, 1, 1, 1]",200,0.5,2048
64,2048,8.0,201402,3.7762121250007112,"[0, 0, 1, 1, 1]",200,0.5,2048
65,0,3.0,200,0.0012603750001289882,"[0, 1, 0, 0, 0]",200,0.6,2048
66,1,8.0,402,0.020712667000225338,"[0, 0, 1, 1, 1]",200,0.6,2048
67,2,8.0,603,0.040251207999972394,"[0, 0, 1, 1, 1]",200,0.6,2048
