column0,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
79,79,0.3265057919999208,498.23514413629016,12080.0,150,0.4,2048
80,80,0.33041083399996296,498.23514413629016,12231.0,150,0.4,2048
81,81,0.334225958999923,498.23514413629016,12382.0,150,0.4,2048
82,82,0.3381012090000013,498.23514413629016,12533.0,150,0.4,2048
83,83,0.34192687500001284,498.23514413629016,12684.0,150,0.4,2048
84,84,0.34574750000001586,498.23514413629016,12835.0,150,0.4,2048
85,85,0.3498124589999634,498.23514413629016,12986.0,150,0.4,2048
86,86,0.3535870419999583,498.23514413629016,13137.0,150,0.4,2048
87,87,0.35746629199991276,498.23514413629016,13288.0,150,0.4,2048
88,88,0.36138983399996505,498.23514413629016,13439.0,150,0.4,2048
89,89,0.36521299999992607,498.23514413629016,13590.0,150,0.4,2048
