column0,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
1038,31,1.4374224169999934,37.0,4834.0,false,150,0.75,512
1039,32,1.4815709590000097,37.0,4985.0,false,150,0.75,512
1040,33,1.528480625000043,37.0,5136.0,false,150,0.75,512
1041,34,1.5732441249999738,37.0,5287.0,false,150,0.75,512
1042,35,1.6176319170000397,37.0,5438.0,false,150,0.75,512
1043,36,1.66223370900002,37.0,5589.0,false,150,0.75,512
1044,37,1.7070968340000263,37.0,5740.0,false,150,0.75,512
1045,38,1.7523985420000372,37.0,5891.0,false,150,0.75,512
1046,39,1.7983735000000252,37.0,6042.0,false,150,0.75,512
1047,40,1.844109167000056,37.0,6193.0,false,150,0.75,512
1048,41,1.8893555839999863,37.0,6344.0,false,150,0.75,512
1049,42,1.9351070000000163,37.0,6495.0,false,150,0.75,512
1050,43,1.9809703749999699,37.0,6646.0,false,150,0.75,512
1051,44,2.0267655000000104,37.0,6797.0,false,150,0.75,512
1052,45,2.0723914999999806,37.0,6948.0,false,150,0.75,512
1053,46,2.116881334000027,37.0,7099.0,false,150,0.75,512
1054,47,2.161112624999987,37.0,7250.0,false,150,0.75,512
1055,48,2.205952792000062,37.0,7401.0,false,150,0.75,512
1056,49,2.250197000000071,37.0,7552.0,false,150,0.75,512
1057,50,2.29427591700005,37.0,7703.0,false,150,0.75,512
1058,51,2.3391430000000355,37.0,7854.0,false,150,0.75,512
1059,52,2.3835027920000584,37.0,8005.0,false,150,0.75,512
1060,53,2.42787050000004,37.0,8156.0,false,150,0.75,512
1061,54,2.472472792000076,37.0,8307.0,false,150,0.75,512
1062,55,2.5176530420000063,37.0,8458.0,false,150,0.75,512
1063,56,2.562392208999995,37.0,8609.0,false,150,0.75,512
1064,57,2.606612833999975,37.0,8760.0,false,150,0.75,512
1065,58,2.6509536250000565,37.0,8911.0,false,150,0.75,512
1066,59,2.6951313750000736,37.0,9062.0,false,150,0.75,512
1067,60,2.739717541999994,37.0,9213.0,false,150,0.75,512
1068,61,2.7844834590000573,37.0,9364.0,false,150,0.75,512
1069,62,2.8287802500000225,37.0,9515.0,false,150,0.75,512
1070,63,2.87363716699997,37.0,9666.0,false,150,0.75,512
1071,64,2.918231917000071,37.0,9817.0,false,150,0.75,512
1072,65,2.965103417000023,37.0,9968.0,false,150,0.75,512
1073,66,3.010081624999998,37.0,10119.0,false,150,0.75,512
1074,67,3.0546067090000406,37.0,10270.0,false,150,0.75,512
1075,68,3.099331459000041,37.0,10421.0,false,150,0.75,512
1076,69,3.143943709000041,37.0,10572.0,false,150,0.75,512
1077,70,3.188469959000031,37.0,10723.0,false,150,0.75,512
1078,71,3.2328897500000267,37.0,10874.0,false,150,0.75,512
1079,72,3.278139834000058,37.0,11025.0,false,150,0.75,512
1080,73,3.322742000000062,37.0,11176.0,false,150,0.75,512
1081,74,3.36678254200001,37.0,11327.0,false,150,0.75,512
1082,75,3.4111603750000086,37.0,11478.0,false,150,0.75,512
1083,76,3.4555952089999664,37.0,11629.0,false,150,0.75,512
1084,77,3.500012374999983,37.0,11780.0,false,150,0.75,512
1085,78,3.544737959000031,37.0,11931.0,false,150,0.75,512
1086,79,3.5894178340000735,37.0,12082.0,false,150,0.75,512
1087,80,3.6337410840000075,37.0,12233.0,false,150,0.75,512
1088,81,3.678444583999976,37.0,12384.0,false,150,0.75,512
1089,82,3.722946333999971,37.0,12535.0,false,150,0.75,512
1090,83,3.7674358340000254,37.0,12686.0,false,150,0.75,512
1091,84,3.8118000420000726,37.0,12837.0,false,150,0.75,512
1092,85,3.856064124999989,37.0,12988.0,false,150,0.75,512
1093,86,3.900556042000062,37.0,13139.0,false,150,0.75,512
1094,87,3.945164959000067,37.0,13290.0,false,150,0.75,512
1095,88,3.9891382499999963,37.0,13441.0,false,150,0.75,512
1096,89,4.033126709000044,37.0,13592.0,false,150,0.75,512
1097,90,4.077912334000075,37.0,13743.0,false,150,0.75,512
1098,91,4.122101833999977,37.0,13894.0,false,150,0.75,512
1099,92,4.166698584000073,37.0,14045.0,false,150,0.75,512
1100,93,4.210844124999994,37.0,14196.0,false,150,0.75,512
1101,94,4.254946792000055,37.0,14347.0,false,150,0.75,512
1102,95,4.298993958999972,37.0,14498.0,false,150,0.75,512
1103,96,4.343544749999978,37.0,14649.0,false,150,0.75,512
