column0,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
3121,53,5.685527499999807,53.0,16257.0,false,300,0.25,512
3122,54,5.790712459000133,53.0,16558.0,false,300,0.25,512
3123,55,5.895603334000043,53.0,16859.0,false,300,0.25,512
3124,56,6.000789124999756,53.0,17160.0,false,300,0.25,512
3125,57,6.106177208999725,53.0,17461.0,false,300,0.25,512
3126,58,6.211090666999553,53.0,17762.0,false,300,0.25,512
3127,59,6.316397458999745,53.0,18063.0,false,300,0.25,512
3128,60,6.422165083999971,53.0,18364.0,false,300,0.25,512
3129,61,6.527288999999655,53.0,18665.0,false,300,0.25,512
3130,62,6.632579584000268,53.0,18966.0,false,300,0.25,512
3131,63,6.737576708999768,53.0,19267.0,false,300,0.25,512
3132,64,6.842345250000108,53.0,19568.0,false,300,0.25,512
3133,65,6.949877999999444,53.0,19869.0,false,300,0.25,512
3134,66,7.055373708999468,53.0,20170.0,false,300,0.25,512
3135,67,7.160618459000034,53.0,20471.0,false,300,0.25,512
3136,68,7.265968249999787,53.0,20772.0,false,300,0.25,512
3137,69,7.373193166999954,53.0,21073.0,false,300,0.25,512
3138,70,7.477898916999948,53.0,21374.0,false,300,0.25,512
3139,71,7.582785042000069,53.0,21675.0,false,300,0.25,512
3140,72,7.687903166999604,53.0,21976.0,false,300,0.25,512
3141,73,7.792871208999713,53.0,22277.0,false,300,0.25,512
3142,74,7.898558709000099,53.0,22578.0,false,300,0.25,512
3143,75,8.004265249999662,53.0,22879.0,false,300,0.25,512
3144,76,8.114814708999802,53.0,23180.0,false,300,0.25,512
3145,77,8.222816917000273,53.0,23481.0,false,300,0.25,512
3146,78,8.327777374999641,53.0,23782.0,false,300,0.25,512
3147,79,8.430006749999848,53.0,24083.0,false,300,0.25,512
3148,80,8.531839334000324,53.0,24384.0,false,300,0.25,512
3149,81,8.634390125000209,53.0,24685.0,false,300,0.25,512
3150,82,8.73738266700002,53.0,24986.0,false,300,0.25,512
3151,83,8.839753541999926,53.0,25287.0,false,300,0.25,512
3152,84,8.942134875000193,53.0,25588.0,false,300,0.25,512
3153,85,9.044697874999656,53.0,25889.0,false,300,0.25,512
3154,86,9.148705792000328,53.0,26190.0,false,300,0.25,512
3155,87,9.252815042000293,53.0,26491.0,false,300,0.25,512
3156,88,9.360729041999548,53.0,26792.0,false,300,0.25,512
3157,89,9.463930249999976,53.0,27093.0,false,300,0.25,512
3158,90,9.566239791999578,53.0,27394.0,false,300,0.25,512
3159,91,9.668437041999823,53.0,27695.0,false,300,0.25,512
3160,92,9.770381583999551,53.0,27996.0,false,300,0.25,512
3161,93,9.873380625000209,53.0,28297.0,false,300,0.25,512
3162,94,9.977497834000133,53.0,28598.0,false,300,0.25,512
3163,95,10.082908874999703,53.0,28899.0,false,300,0.25,512
3164,96,10.190651459000037,53.0,29200.0,false,300,0.25,512
