column0,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
7172,4,0.009732209000006264,24.0,7259.0,25,512,14
7684,4,0.009732209000006264,28.0,7776.0,25,512,15
8196,4,0.009732209000006264,24.0,8294.0,25,512,16
8708,4,0.009732209000006264,25.0,8816.0,25,512,17
9220,4,0.009732209000006264,24.0,9336.0,25,512,18
9732,4,0.009732209000006264,26.0,9853.0,25,512,19
10244,4,0.009732209000006264,25.0,10370.0,25,512,20
10756,4,0.009732209000006264,28.0,10890.0,25,512,21
11268,4,0.009732209000006264,24.0,11405.0,25,512,22
11780,4,0.009732209000006264,26.0,11926.0,25,512,23
12292,4,0.009732209000006264,4.0,12444.0,25,512,24
12804,4,0.009732209000006264,5.0,12966.0,25,512,25
5,5,0.011122584000005986,29.0,7.0,25,512,0
517,5,0.011122584000005986,25.0,521.0,25,512,1
1029,5,0.011122584000005986,26.0,1036.0,25,512,2
1541,5,0.011122584000005986,24.0,1555.0,25,512,3
